FID,station,st_num,lot_id,station_name,line_id,mode,permitrequired_1,permit_only_spaces_1,permit_only_vehicles_1,permit_only_space_utilization_1,parking_space_non_hp_1,used_spaces_non_hp_1,hp_parking_spaces_1,used_hp_parking_spaces_1,total_spaces_1,total_used_spaces_1,total_utilization_all_parking_1,publicparkingnohp_spaces_1,publicparkingnohp_vehicles_1,publicparkingnohp_utilization_1,cars_not_in_marked_spaces_1,lot_ownership_1,parking_fee_1,data_year
ctps_pnr_lots_polygons.245,Providence,129,294,Providence,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,190,77,2,0,192,77,0.40104167,190,77,0.40526316,0,Private,18,2017-2018
ctps_pnr_lots_polygons.246,Providence,129,295,Providence,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,139,71,2,0,141,71,0.5035461,139,71,0.51079137,0,Private,18,2017-2018
ctps_pnr_lots_polygons.247,Wickford Junction ,304,296,Wickford Junction,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,1077,311,23,1,1100,312,0.28363636,1077,311,0.28876509,0,Private,0,2017-2018
ctps_pnr_lots_polygons.248,South Attleboro,132,297,South Attleboro,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,213,126,0,0,213,126,0.5915493,213,126,0.5915493,0,Private,6,2017-2018
ctps_pnr_lots_polygons.249,TF Green Airport,272,298,TF Green,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,591,58,25,0,616,58,0.09415584,591,58,0.09813875,0,Private,5,2017-2018
ctps_pnr_lots_polygons.250,Green Street,118,299,Green Street,Orange Line,Rapid Transit,Yes,45,27,60%,45,27,0,0,45,27,0.6,0,0,0,0,Private,0,2017-2018
ctps_pnr_lots_polygons.251,Malden,119,300,Malden Center,Orange Line,Rapid Transit,No,0,0,N/A,639,416,10,2,649,418,0.6440678,639,416,0.65101721,0,Private,0,2017-2018
ctps_pnr_lots_polygons.252,Morton St. ,268,301,Morton Street,Fairmount,Commuter Rail ,No,0,0,N/A,0,0,1,0,1,0,0,0,0,0,0,MBTA,0,2017-2018
ctps_pnr_lots_polygons.253,Framingham,25,302,Framingham,Framingham/Worcester,Commuter Rail ,Yes,52,37,71%,52,37,0,0,52,37,0.71153846,0,0,0,0,Private,0,2017-2018
ctps_pnr_lots_polygons.254,Norfolk,41,303,Norfolk,Franklin,Commuter Rail ,No,0,0,N/A,358,245,0,0,358,245,0.68435754,358,245,0.68435754,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.255,Attleboro,124,304,Attleboro,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,79,79,4,2,83,81,0.97590361,79,79,1,0,MBTA,5,2017-2018
ctps_pnr_lots_polygons.256,Oak Grove ,120,305,Oak Grove,Orange Line,Rapid Transit,Yes,72,56,78%,72,56,0,0,72,56,0.77777778,0,0,0,0,Private,0,2017-2018
ctps_pnr_lots_polygons.257,South Acton,20,306,South Acton,Fitchburg/South Acton,Commuter Rail ,Yes,48,5,10%,48,5,0,0,48,5,0.10416667,0,0,0,0,Town,0,2017-2018
ctps_pnr_lots_polygons.258,Bradford,62,307,Bradford,Haverhill,Commuter Rail ,Yes,26,17,65%,26,17,0,0,26,17,0.65384615,0,0,0,0,Private,0,2017-2018
ctps_pnr_lots_polygons.259,Assembly,322,308,Assembly,Orange Line,Rapid Transit,No,0,0,N/A,350,294,12,0,362,294,0.8121547,350,294,0.84,0,Private,8,2017-2018
ctps_pnr_lots_polygons.261,Framingham,25,322,Framingham,Framingham/Worcester,Commuter Rail ,No,0,0,N/A,177,177,6,0,183,177,0.96721312,177,177,1,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.262,Belmont,10,317,Belmont,Fitchburg/South Acton,Commuter Rail ,Yes,9,3,33%,9,3,1,0,10,3,0.3,0,0,0,0,Town,0,2017-2018
ctps_pnr_lots_polygons.263,Plymouth,77,313,Plymouth,Kingston/Plymouth,Commuter Rail ,No,0,0,N/A,92,0,4,0,96,0,0,92,0,0,0,MBTA,2,2017-2018
ctps_pnr_lots_polygons.264,South Weymouth,78,314,South Weymouth,Kingston/Plymouth,Commuter Rail ,No,0,0,N/A,84,34,4,1,88,35,0.39772727,84,34,0.40476191,0,MBTA,2,2017-2018
ctps_pnr_lots_polygons.265,Beverly Depot,101,318,Beverly Depot,Newburyport/Rockport,Commuter Rail ,No,0,0,N/A,483,302,11,0,494,302,0.61133603,483,302,0.6252588,0,MBTA,5,2017-2018
ctps_pnr_lots_polygons.266,Haverhill,64,319,Haverhill,Haverhill,Commuter Rail ,No,0,0,N/A,400,150,4,4,404,154,0.38118812,400,150,0.375,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.267,Four Corners/Geneva Ave,328,310,Four Corners/Geneva Ave,Fairmount,Commuter Rail ,No,0,0,N/A,3,0,1,0,4,0,0,3,0,0,0,MBTA,0,2017-2018
ctps_pnr_lots_polygons.268,Uphams Corner,269,316,Uphams Corner,Fairmount,Commuter Rail ,No,0,0,N/A,2,0,2,0,4,0,0,2,0,0,0,MBTA,0,2017-2018
ctps_pnr_lots_polygons.269,Newmarket,333,312,Newmarket,Fairmount,Commuter Rail ,No,0,0,N/A,0,0,2,2,2,2,1,0,0,0,0,Town,0,2017-2018
ctps_pnr_lots_polygons.270,Talbot Avenue,339,315,Talbot Ave,Fairmount,Commuter Rail ,No,0,0,N/A,1,0,2,0,3,0,0,1,0,0,1,MBTA,0,2017-2018
ctps_pnr_lots_polygons.271,Attleboro,124,309,Attleboro,Providence/Stoughton,Commuter Rail ,Yes,150,77,51%,150,77,0,0,150,77,0.51333333,0,0,0,0,Town,0,2017-2018
ctps_pnr_lots_polygons.272,Wachusett,340,321,Wachusett,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,351,85,8,2,359,87,0.24233983,351,85,0.24216524,0,MBTA,3,2017-2018
