FID,station,st_num,lot_id,station_name,line_id,mode,permitrequired_1,permit_only_spaces_1,permit_only_vehicles_1,permit_only_space_utilization_1,parking_space_non_hp_1,used_spaces_non_hp_1,hp_parking_spaces_1,used_hp_parking_spaces_1,total_spaces_1,total_used_spaces_1,total_utilization_all_parking_1,publicparkingnohp_spaces_1,publicparkingnohp_vehicles_1,publicparkingnohp_utilization_1,cars_not_in_marked_spaces_1,lot_ownership_1,parking_fee_1,data_year
ctps_pnr_lots_polygons.177,Needham Heights,96,214,Needham Heights,Needham,Commuter Rail ,No,0,0,N/A,82,49,3,0,85,49,0.57647059,82,49,0.59756098,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.178,Needham Center,97,216,Needham Center,Needham,Commuter Rail ,Yes,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,Town,0,2017-2018
ctps_pnr_lots_polygons.179,Needham Junction,98,217,Needham Junction,Needham,Commuter Rail ,No,0,0,N/A,49,49,0,0,49,49,1,49,49,1,0,MBTA,6,2017-2018
ctps_pnr_lots_polygons.180,Needham Junction,98,218,Needham Junction,Needham,Commuter Rail ,No,0,0,N/A,20,19,0,0,20,19,0.95,20,19,0.95,0,MBTA,6,2017-2018
ctps_pnr_lots_polygons.181,Needham Junction,98,219,Needham Junction,Needham,Commuter Rail ,No,0,0,N/A,56,48,4,3,60,51,0.85,56,48,0.85714286,0,MBTA,7,2017-2018
ctps_pnr_lots_polygons.204,Oak Grove,120,244,Oak Grove,Orange Line,Rapid Transit,Yes,34,23,68%,34,23,2,0,36,23,0.63888889,0,0,0,0,Private,0,2017-2018
ctps_pnr_lots_polygons.182,Hersey,94,220,Hersey,Needham,Commuter Rail ,No,0,0,N/A,175,174,0,0,175,174,0.99428571,175,174,0.99428571,7,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.183,Hersey,94,221,Hersey,Needham,Commuter Rail ,No,0,0,N/A,134,134,0,0,134,134,1,134,134,1,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.184,West Roxbury,100,222,West Roxbury,Needham,Commuter Rail ,No,0,0,N/A,60,55,2,0,62,55,0.88709677,60,55,0.91666667,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.185,Highland,95,223,Highland,Needham,Commuter Rail ,No,0,0,N/A,169,115,6,1,175,116,0.66285714,169,115,0.68047337,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.186,Stoughton,133,224,Stoughton,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,78,49,0,0,78,49,0.62820513,78,49,0.62820513,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.187,Stoughton,133,225,Stoughton,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,93,89,4,1,97,90,0.92783505,93,89,0.95698925,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.188,Stoughton,133,226,Stoughton,Providence/Stoughton,Commuter Rail ,Yes,63,21,33%,63,21,0,0,63,21,0.33333333,0,0,0,0,Town,0,2017-2018
ctps_pnr_lots_polygons.189,Stoughton,133,227,Stoughton,Providence/Stoughton,Commuter Rail ,Yes,74,46,62%,74,46,0,0,74,46,0.62162162,0,0,0,0,Private,4,2017-2018
ctps_pnr_lots_polygons.190,Stoughton,133,228,Stoughton,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,85,59,0,0,85,59,0.69411765,85,59,0.69411765,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.191,Stoughton,133,229,Stoughton,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,60,52,6,0,66,52,0.78787879,60,52,0.86666667,0,MBTA,4,2017-2018
