"route_id","route_long_name","parent_station","stop_name","stop_lat","stop_lon"
"Green-C","Green Line C","place-fbkst","Fairbanks Street",42.339725,-71.131073
"Green-C","Green Line C","place-bcnwa","Washington Square",42.339394,-71.13533
"Green-C","Green Line C","place-tapst","Tappan Street",42.338459,-71.138702
"Green-C","Green Line C","place-denrd","Dean Road",42.337807,-71.141853
"Green-C","Green Line C","place-engav","Englewood Avenue",42.336971,-71.14566
"Green-C","Green Line C","place-clmnl","Cleveland Circle",42.336142,-71.149326
"Green-D","Green Line D","place-gover","Government Center",42.359705,-71.059215
"Green-D","Green Line D","place-pktrm","Park Street",42.356395,-71.062424
"Green-D","Green Line D","place-boyls","Boylston",42.35302,-71.06459
"Green-D","Green Line D","place-armnl","Arlington",42.351902,-71.070893
"Green-D","Green Line D","place-coecl","Copley",42.349974,-71.077447
"Green-D","Green Line D","place-hymnl","Hynes Convention Center",42.347888,-71.087903
"Green-D","Green Line D","place-kencl","Kenmore",42.348949,-71.095169
"Green-D","Green Line D","place-fenwy","Fenway",42.345394,-71.104187
"Green-D","Green Line D","place-longw","Longwood",42.341145,-71.110451
"Green-D","Green Line D","place-bvmnl","Brookline Village",42.332774,-71.116296
"Green-D","Green Line D","place-brkhl","Brookline Hills",42.331333,-71.126999
"Green-D","Green Line D","place-bcnfd","Beaconsfield",42.335846,-71.140823
"Green-D","Green Line D","place-rsmnl","Reservoir",42.335027,-71.148952
"Green-D","Green Line D","place-chhil","Chestnut Hill",42.326653,-71.165314
"Green-D","Green Line D","place-newto","Newton Centre",42.329391,-71.192429
"Green-D","Green Line D","place-newtn","Newton Highlands",42.321735,-71.206116
"Green-D","Green Line D","place-eliot","Eliot",42.319023,-71.216713
"Green-D","Green Line D","place-waban","Waban",42.325943,-71.230728
"Green-D","Green Line D","place-woodl","Woodland",42.333374,-71.244301
"Green-D","Green Line D","place-river","Riverside",42.337059,-71.251742
"Green-E","Green Line E","place-lech","Lechmere",42.370772,-71.076536
"Green-E","Green Line E","place-spmnl","Science Park",42.366664,-71.067666
"Green-E","Green Line E","place-north","North Station",42.365577,-71.06129
"Green-E","Green Line E","place-haecl","Haymarket",42.363021,-71.05829
"Green-E","Green Line E","place-gover","Government Center",42.359705,-71.059215
"Green-E","Green Line E","place-pktrm","Park Street",42.356395,-71.062424
"Green-E","Green Line E","place-boyls","Boylston",42.35302,-71.06459
"Green-E","Green Line E","place-armnl","Arlington",42.351902,-71.070893
"Green-E","Green Line E","place-coecl","Copley",42.349974,-71.077447
"Green-E","Green Line E","place-prmnl","Prudential",42.34557,-71.081696
"Green-E","Green Line E","place-symcl","Symphony",42.342687,-71.085056
