"","Fall.2019.weekday.base.full","Fall.2023.weekday.base.full","Fall.2019.weekend.base.full","Fall.2023.weekend.base.full","Fall.2019.weekday.enhanced.full","Fall.2023.weekday.enhanced.full","Fall.2019.weekend.enhanced.full","Fall.2023.weekend.enhanced.full","Fall.2019.weekday.base.bosonly","Fall.2023.weekday.base.bosonly","Fall.2019.weekend.base.bosonly","Fall.2023.weekend.base.bosonly","Fall.2019.weekday.enhanced.bosonly","Fall.2023.weekday.enhanced.bosonly","Fall.2019.weekend.enhanced.bosonly","Fall.2023.weekend.enhanced.bosonly"
"connecting_cr_routes","904.28 (se=277.14, vif=1.74, t=3.26)","683.38 (se=124.74, vif=1.49, t=5.48)","248.36 (se=151.36, vif=1.74, t=1.64)","373.74 (se=113.15, vif=1.49, t=3.3)","911.9 (se=277.3, vif=1.74, t=3.29)","680.13 (se=126.2, vif=1.51, t=5.39)","253.99 (se=150.83, vif=1.75, t=1.68)","374.96 (se=114.51, vif=1.51, t=3.27)","1157.25 (se=331.8, vif=1.85, t=3.49)","853.19 (se=157.7, vif=1.46, t=5.41)","339.34 (se=187.1, vif=1.85, t=1.81)","459.33 (se=132.36, vif=1.46, t=3.47)","1005.16 (se=381.76, vif=2.31, t=2.63)","866.29 (se=170.08, vif=1.66, t=5.09)","411.96 (se=215.92, vif=2.32, t=1.91)","479.42 (se=141.1, vif=1.65, t=3.4)"
"connecting_bus_routes","209.28 (se=92.94, vif=1.86, t=2.25)","102.12 (se=51.55, vif=1.8, t=1.98)","138.93 (se=50.52, vif=1.85, t=2.75)","63.51 (se=46.67, vif=1.79, t=1.36)","203.6 (se=93.13, vif=1.87, t=2.19)","102.95 (se=51.93, vif=1.81, t=1.98)","134.69 (se=50.43, vif=1.86, t=2.67)","63.21 (se=47.03, vif=1.8, t=1.34)","304.38 (se=131.66, vif=1.81, t=2.31)","189.05 (se=90.65, vif=2.37, t=2.09)","155.94 (se=74.19, vif=1.81, t=2.1)","105.05 (se=76.15, vif=2.37, t=1.38)","339.69 (se=145.91, vif=2.08, t=2.33)","221.36 (se=96.83, vif=2.63, t=2.29)","156.65 (se=82.31, vif=2.08, t=1.9)","102.97 (se=80.27, vif=2.61, t=1.28)"
"pnr_spaces_100s","42.89 (se=74.08, vif=1.92, t=0.58)","29.88 (se=38.48, vif=1.85, t=0.78)","7.54 (se=40.33, vif=1.91, t=0.19)","28.76 (se=34.94, vif=1.85, t=0.82)","47.13 (se=74.22, vif=1.92, t=0.63)","28.71 (se=39.02, vif=1.89, t=0.74)","10.51 (se=40.24, vif=1.92, t=0.26)","29.19 (se=35.44, vif=1.89, t=0.82)","64.27 (se=441.96, vif=1.52, t=0.15)","-201.52 (se=269.19, vif=1.69, t=-0.75)","-81.63 (se=247.92, vif=1.51, t=-0.33)","-85.68 (se=223.36, vif=1.64, t=-0.38)","103.93 (se=460.94, vif=1.56, t=0.23)","-259.14 (se=278.47, vif=1.76, t=-0.93)","-96.23 (se=258.73, vif=1.54, t=-0.37)","-111.2 (se=227.95, vif=1.71, t=-0.49)"
"walk_score","-55.53 (se=91.9, vif=16.97, t=-0.6)","-93.33 (se=45.5, vif=16.08, t=-2.05)","-46 (se=50.25, vif=17.08, t=-0.92)","-67.3 (se=41.16, vif=15.99, t=-1.64)","-36.71 (se=93.89, vif=17.7, t=-0.39)","-95.46 (se=46.71, vif=16.78, t=-2.04)","-32.53 (se=51.11, vif=17.81, t=-0.64)","-66.51 (se=42.28, vif=16.7, t=-1.57)","8.13 (se=308.17, vif=69.75, t=0.03)","-136.4 (se=176.51, vif=69.22, t=-0.77)","-100.82 (se=171.36, vif=67.93, t=-0.59)","-95 (se=147.14, vif=67.99, t=-0.65)","-2.69 (se=319.99, vif=70.92, t=-0.01)","-159.15 (se=180.29, vif=70.33, t=-0.88)","-103.75 (se=178.06, vif=68.83, t=-0.58)","-115.55 (se=148.61, vif=69.13, t=-0.78)"
"land_use_entropy_score","-144.32 (se=125.43, vif=83.47, t=-1.15)","-158.94 (se=63.96, vif=81.94, t=-2.49)","-49.8 (se=68.73, vif=84.43, t=-0.72)","-104.98 (se=57.94, vif=81.73, t=-1.81)","-123.43 (se=127.24, vif=85.86, t=-0.97)","-161.44 (se=65.24, vif=84.44, t=-2.47)","-34.96 (se=69.41, vif=86.76, t=-0.5)","-104.05 (se=59.13, vif=84.25, t=-1.76)","-65.91 (se=413, vif=449.21, t=-0.16)","-193.67 (se=237.77, vif=448.36, t=-0.81)","-118.71 (se=229.8, vif=438.1, t=-0.52)","-115.12 (se=198.75, vif=442.78, t=-0.58)","-65.68 (se=428.7, vif=453.55, t=-0.15)","-219.71 (se=242.31, vif=450.99, t=-0.91)","-124.52 (se=238.75, vif=440.91, t=-0.52)","-141.8 (se=200.26, vif=445.68, t=-0.71)"
"pop_per_acre","-0.31 (se=1.34, vif=2.15, t=-0.23)","0.32 (se=0.7, vif=2.15, t=0.45)","1.59 (se=0.73, vif=2.15, t=2.18)","0.79 (se=0.63, vif=2.15, t=1.24)","-0.43 (se=1.34, vif=2.16, t=-0.32)","0.34 (se=0.71, vif=2.18, t=0.48)","1.5 (se=0.73, vif=2.17, t=2.06)","0.78 (se=0.64, vif=2.18, t=1.21)","0.43 (se=1.9, vif=1.99, t=0.23)","0.62 (se=1.14, vif=2.17, t=0.54)","1.66 (se=1.07, vif=1.99, t=1.55)","0.69 (se=0.96, vif=2.18, t=0.72)","0.58 (se=2.6, vif=3.31, t=0.22)","0.93 (se=1.52, vif=3.53, t=0.61)","0.82 (se=1.47, vif=3.32, t=0.56)","1.36 (se=1.27, vif=3.54, t=1.08)"
"jobs_per_acre","1.52 (se=3.48, vif=4.71, t=0.44)","1.98 (se=1.77, vif=4.84, t=1.11)","1.21 (se=1.89, vif=4.7, t=0.64)","1.93 (se=1.61, vif=4.83, t=1.2)","-0.14 (se=3.87, vif=5.82, t=-0.04)","2.16 (se=1.97, vif=5.89, t=1.1)","0 (se=2.1, vif=5.82, t=0)","1.86 (se=1.78, vif=5.88, t=1.05)","--","--","--","--","--","--","--","--"
"median_inc_1000s","-7.17 (se=19.19, vif=1.62, t=-0.37)","3.19 (se=9.9, vif=1.57, t=0.32)","4.19 (se=10.43, vif=1.61, t=0.4)","10.98 (se=8.91, vif=1.55, t=1.23)","-1.54 (se=20.03, vif=1.76, t=-0.08)","2.45 (se=10.48, vif=1.75, t=0.23)","8.19 (se=10.83, vif=1.75, t=0.76)","11.25 (se=9.45, vif=1.72, t=1.19)","18.65 (se=28.22, vif=1.94, t=0.66)","33.5 (se=16.45, vif=2.03, t=2.04)","4.97 (se=15.7, vif=1.89, t=0.32)","26.04 (se=13.69, vif=1.98, t=1.9)","-1.41 (se=35.9, vif=2.87, t=-0.04)","21.73 (se=19.83, vif=2.73, t=1.1)","13.83 (se=20.03, vif=2.8, t=0.69)","17.64 (se=16.37, vif=2.69, t=1.08)"
"walk_score:land_use_entropy_score","1.71 (se=1.42, vif=110.24, t=1.2)","2.02 (se=0.72, vif=108.12, t=2.79)","0.64 (se=0.78, vif=111.55, t=0.82)","1.36 (se=0.66, vif=107.98, t=2.08)","1.44 (se=1.45, vif=114.12, t=1)","2.05 (se=0.74, vif=112.1, t=2.77)","0.45 (se=0.79, vif=115.33, t=0.57)","1.35 (se=0.67, vif=111.98, t=2.01)","0.8 (se=4.5, vif=501.93, t=0.18)","2.37 (se=2.58, vif=494.69, t=0.92)","1.41 (se=2.5, vif=490.65, t=0.56)","1.54 (se=2.16, vif=489.2, t=0.71)","0.82 (se=4.67, vif=507.55, t=0.18)","2.64 (se=2.63, vif=498.17, t=1)","1.45 (se=2.6, vif=494.74, t=0.56)","1.82 (se=2.17, vif=492.89, t=0.84)"
"college_students_1000s","--","--","--","--","44.21 (se=44.96, vif=1.5, t=0.98)","-5.13 (se=22.99, vif=1.49, t=-0.22)","31.78 (se=24.39, vif=1.5, t=1.3)","1.89 (se=20.86, vif=1.49, t=0.09)","--","--","--","--","-25.11 (se=85.46, vif=1.45, t=-0.29)","-88.31 (se=50.37, vif=1.56, t=-1.75)","19.03 (se=48.32, vif=1.45, t=0.39)","-71.79 (se=41.9, vif=1.56, t=-1.71)"
"hotels","--","--","--","--","--","--","--","--","--","--","--","--","209.61 (se=242.16, vif=4.05, t=0.87)","30.83 (se=127.5, vif=3.6, t=0.24)","-96.57 (se=136.73, vif=4.05, t=-0.71)","53.53 (se=105.95, vif=3.6, t=0.51)"
"hospitals","--","--","--","--","--","--","--","--","--","--","--","--","213.14 (se=443.1, vif=1.75, t=0.48)","-146.26 (se=235.77, vif=1.53, t=-0.62)","-98.25 (se=250.93, vif=1.76, t=-0.39)","-338.38 (se=195.77, vif=1.53, t=-1.73)"
"airbnb_density","--","--","--","--","--","--","--","--","--","--","--","--","220.5 (se=1782.38, vif=3.58, t=0.12)","382.8 (se=950.88, vif=3.51, t=0.4)","1036.58 (se=1007.44, vif=3.59, t=1.03)","-223.12 (se=791.94, vif=3.52, t=-0.28)"
"Adjusted R Squared","0.852","0.866","0.774","0.776","0.852","0.865","0.776","0.773","0.849","0.846","0.767","0.78","0.841","0.843","0.753","0.781"
"F Statistic","35.46","42.658","21.595","23.281","33.633","40.023","20.707","21.833","29.165","29.145","17.471","19.212","21.274","21.862","12.706","14.906"
"df_vars","18","18","18","18","19","19","19","19","14","14","14","14","18","18","18","18"
"df_obs","90","98","90","98","89","97","89","97","56","58","56","58","51","52","51","52"
"RMSE","2418.801","1292.378","1317.903","1172.351","2405.768","1292.046","1305.506","1172.302","2608.94","1514.058","1469.949","1273.494","2581.828","1471.884","1458.357","1223.685"
