,stop_id,stop_name,stop_lat,stop_lon,geometry,walk_score
0,70061,Alewife,42.396158,-71.139971,POINT (-71.139971 42.396158),79
1,70126,Allston Street,42.348649,-71.137881,POINT (-71.137881 42.348649),93
2,170140,Amory Street,42.350901,-71.114318,POINT (-71.114318 42.350901),88
3,70083,Andrew,42.330154,-71.057655,POINT (-71.057655 42.330154),89
4,70047,Airport,42.374262,-71.030395,POINT (-71.030395 42.374262),93
5,70043,Aquarium,42.359784,-71.051652,POINT (-71.051652 42.359784),99
6,70156,Arlington,42.351902,-71.070893,POINT (-71.070893 42.351902),96
7,70093,Ashmont,42.284508,-71.063833,POINT (-71.063833 42.284508),81
8,70278,Assembly,42.392331,-71.077262,POINT (-71.077262 42.392331),83
9,170136,Babcock Street,42.351538,-71.119553,POINT (-71.119553 42.351538),94
10,70509,Ball Square,42.40038,-71.111331,POINT (-71.111331 42.40038),94
11,70014,Back Bay,42.34735,-71.075727,POINT (-71.075727 42.34735),99
12,70257,Back of the Hill,42.329369,-71.111046,POINT (-71.111046 42.329369),67
13,70176,Beaconsfield,42.335625,-71.140112,POINT (-71.140112 42.335625),81
14,70229,Washington Square,42.339471,-71.135139,POINT (-71.135139 42.339471),89
15,70148,Blandford Street,42.349165,-71.099821,POINT (-71.099821 42.349165),96
16,70055,Beachmont,42.397219,-70.992647,POINT (-70.992647 42.397219),81
17,70225,Brandon Hall,42.340053,-71.128869,POINT (-71.128869 42.340053),93
18,70038,Bowdoin,42.361365,-71.062037,POINT (-71.062037 42.361365),98
19,70158,Boylston,42.352531,-71.064682,POINT (-71.064682 42.352531),99
20,70081,Broadway,42.342622,-71.056967,POINT (-71.056967 42.342622),93
21,70134,Packard's Corner,42.351891,-71.125067,POINT (-71.125067 42.351891),98
22,70178,Brookline Hills,42.331293,-71.126406,POINT (-71.126406 42.331293),88
23,70249,Brigham Circle,42.334331,-71.104487,POINT (-71.104487 42.334331),92
24,70105,Braintree,42.207424,-71.001645,POINT (-71.001645 42.207424),60
25,70144,Boston University Central,42.350013,-71.106902,POINT (-71.106902 42.350013),92
26,70146,Boston University East,42.349659,-71.103989,POINT (-71.103989 42.349659),94
27,70265,Butler,42.272449,-71.062513,POINT (-71.062513 42.272449),65
28,70180,Brookline Village,42.332614,-71.116751,POINT (-71.116751 42.332614),95
29,70273,Capen Street,42.267589,-71.087139,POINT (-71.087139 42.267589),34
30,70028,Community College,42.373622,-71.069533,POINT (-71.069533 42.373622),89
31,70263,Cedar Grove,42.279546,-71.060392,POINT (-71.060392 42.279546),48
32,70269,Central Avenue,42.270054,-71.073523,POINT (-71.073523 42.270054),82
33,70172,Chestnut Hill,42.326799,-71.164146,POINT (-71.164146 42.326799),70
34,70112,Chestnut Hill Avenue,42.33873,-71.152526,POINT (-71.152526 42.33873),87
35,70073,Charles/MGH,42.361187,-71.071505,POINT (-71.071505 42.361187),98
36,70018,Chinatown,42.352547,-71.062752,POINT (-71.062752 42.352547),99
37,70114,Chiswick Road,42.340808,-71.150633,POINT (-71.150633 42.340808),86
38,70237,Cleveland Circle,42.336216,-71.149201,POINT (-71.149201 42.336216),86
39,70069,Central,42.365304,-71.103621,POINT (-71.103621 42.365304),99
40,70154,Copley,42.349871,-71.078049,POINT (-71.078049 42.349871),100
41,70219,Coolidge Corner,42.342274,-71.120915,POINT (-71.120915 42.342274),97
42,70063,Davis,42.39674,-71.121815,POINT (-71.121815 42.39674),98
43,70233,Dean Road,42.337807,-71.141753,POINT (-71.141753 42.337807),85
44,70020,Downtown Crossing,42.355518,-71.060225,POINT (-71.060225 42.355518),99
45,70166,Eliot,42.318871,-71.21642,POINT (-71.21642 42.318871),45
46,70235,Englewood Avenue,42.336964,-71.145867,POINT (-71.145867 42.336964),85
47,70513,East Somerville,42.379881,-71.087032,POINT (-71.087032 42.379881),88
48,70227,Fairbanks Street,42.33969,-71.131228,POINT (-71.131228 42.33969),89
49,70251,Fenwood Road,42.33374,-71.105721,POINT (-71.105721 42.33374),91
50,70186,Fenway,42.345328,-71.104269,POINT (-71.104269 42.345328),95
51,70089,Fields Corner,42.299993,-71.062021,POINT (-71.062021 42.299993),93
52,70001,Forest Hills,42.300926,-71.114129,POINT (-71.114129 42.300926),89
53,70505,Gilman Square,42.388043,-71.096956,POINT (-71.096956 42.388043),89
54,70039,Government Center,42.359705,-71.059215,POINT (-71.059215 42.359705),99
55,70128,Griggs Street,42.348747,-71.1345,POINT (-71.1345 42.348747),93
56,70002,Green Street,42.309832,-71.108059,POINT (-71.108059 42.309832),90
57,70024,Haymarket,42.363021,-71.05829,POINT (-71.05829 42.363021),99
58,70067,Harvard,42.373362,-71.118956,POINT (-71.118956 42.373362),98
59,70130,Harvard Avenue,42.350263,-71.131298,POINT (-71.131298 42.350263),99
60,70260,Heath Street,42.328316,-71.110252,POINT (-71.110252 42.328316),74
61,70213,Hawes Street,42.344758,-71.111761,POINT (-71.111761 42.344758),88
62,70152,Hynes Convention Center,42.347888,-71.087903,POINT (-71.087903 42.347888),98
63,70006,Jackson Square,42.323132,-71.099592,POINT (-71.099592 42.323132),73
64,70085,JFK/UMass,42.320632,-71.052514,POINT (-71.052514 42.320632),80
65,70150,Kenmore,42.348949,-71.095169,POINT (-71.095169 42.348949),95
66,70071,Kendall/MIT,42.362355,-71.085605,POINT (-71.085605 42.362355),95
67,70215,Kent Street,42.344117,-71.114097,POINT (-71.114097 42.344117),84
68,70106,Boston College,42.340149,-71.167029,POINT (-71.167029 42.340149),56
69,70501,Lechmere,42.371566,-71.076457,POINT (-71.076457 42.371566),86
70,70247,Longwood Medical Area,42.33608,-71.099883,POINT (-71.099883 42.33608),88
71,70182,Longwood,42.341808,-71.109777,POINT (-71.109777 42.341808),77
72,70012,Massachusetts Avenue,42.340927,-71.084188,POINT (-71.084188 42.340927),97
73,70275,Mattapan,42.267625,-71.092389,POINT (-71.092389 42.267625),84
74,70511,Medford/Tufts,42.408306,-71.11728,POINT (-71.11728 42.408306),83
75,70245,Museum of Fine Arts,42.337875,-71.09524,POINT (-71.09524 42.337875),92
76,70507,Magoun Square,42.394357,-71.106824,POINT (-71.106824 42.394357),82
77,70267,Milton,42.270388,-71.067253,POINT (-71.067253 42.270388),85
78,70253,Mission Park,42.333279,-71.109276,POINT (-71.109276 42.333279),88
79,70034,Malden Center,42.426677,-71.074381,POINT (-71.074381 42.426677),96
80,70045,Maverick,42.369119,-71.03953,POINT (-71.03953 42.369119),93
81,70168,Newton Highlands,42.322738,-71.205082,POINT (-71.205082 42.322738),74
82,70170,Newton Centre,42.329552,-71.192024,POINT (-71.192024 42.329552),81
83,70026,North Station,42.36528,-71.060205,POINT (-71.060205 42.36528),98
84,70097,North Quincy,42.27577,-71.030194,POINT (-71.030194 42.27577),88
85,70243,Northeastern University,42.339897,-71.09021,POINT (-71.09021 42.339897),97
86,70036,Oak Grove,42.437735,-71.070875,POINT (-71.070875 42.437735),62
87,70051,Orient Heights,42.386909,-71.004809,POINT (-71.004809 42.386909),80
88,70075,Park Street,42.356395,-71.062424,POINT (-71.062424 42.356395),99
89,70065,Porter,42.3884,-71.119149,POINT (-71.119149 42.3884),98
90,70239,Prudential,42.34557,-71.081696,POINT (-71.081696 42.34557),98
91,70103,Quincy Adams,42.233391,-71.007153,POINT (-71.007153 42.233391),55
92,70101,Quincy Center,42.251809,-71.005409,POINT (-71.005409 42.251809),93
93,70057,Revere Beach,42.40776,-70.992586,POINT (-70.992586 42.40776),84
94,70008,Roxbury Crossing,42.330671,-71.096121,POINT (-71.096121 42.330671),85
95,70160,Riverside,42.337317,-71.252256,POINT (-71.252256 42.337317),34
96,70174,Reservoir,42.335181,-71.147879,POINT (-71.147879 42.335181),82
97,70010,Ruggles,42.33649,-71.089684,POINT (-71.089684 42.33649),89
98,70255,Riverway,42.331391,-71.111925,POINT (-71.111925 42.331391),62
99,70004,Stony Brook,42.317062,-71.104248,POINT (-71.104248 42.317062),91
100,70053,Suffolk Downs,42.390422,-70.997323,POINT (-70.997323 42.390422),51
101,70087,Savin Hill,42.310603,-71.053678,POINT (-71.053678 42.310603),81
102,70211,Saint Mary's Street,42.345884,-71.107697,POINT (-71.107697 42.345884),94
103,70091,Shawmut,42.293126,-71.065738,POINT (-71.065738 42.293126),81
104,70110,South Street,42.339371,-71.157057,POINT (-71.157057 42.339371),75
105,70207,Science Park/West End,42.366664,-71.067666,POINT (-71.067666 42.366664),94
106,70079,South Station,42.352271,-71.055242,POINT (-71.055242 42.352271),97
107,70022,State,42.358978,-71.057598,POINT (-71.057598 42.358978),99
108,70116,Sutherland Road,42.341589,-71.146089,POINT (-71.146089 42.341589),86
109,70217,Saint Paul Street,42.34334,-71.116927,POINT (-71.116927 42.34334),93
110,70030,Sullivan Square,42.383975,-71.076994,POINT (-71.076994 42.383975),89
111,70223,Summit Avenue,42.34112,-71.125652,POINT (-71.125652 42.34112),96
112,70241,Symphony,42.342687,-71.085056,POINT (-71.085056 42.342687),99
113,70231,Tappan Street,42.338498,-71.138731,POINT (-71.138731 42.338498),86
114,70016,Tufts Medical Center,42.349662,-71.063917,POINT (-71.063917 42.349662),99
115,70503,Union Square,42.377024,-71.093964,POINT (-71.093964 42.377024),92
116,70271,Valley Road,42.268389,-71.081504,POINT (-71.081504 42.268389),60
117,70164,Waban,42.325695,-71.230476,POINT (-71.230476 42.325695),67
118,70120,Washington Street,42.344329,-71.142385,POINT (-71.142385 42.344329),88
119,70032,Wellington,42.401505,-71.077252,POINT (-71.077252 42.401505),76
120,70049,Wood Island,42.37974,-71.022818,POINT (-71.022818 42.37974),83
121,70099,Wollaston,42.266762,-71.020542,POINT (-71.020542 42.266762),89
