"route_id","parent_station","avg_tt","sd_tt"
"Blue","place-aport",358.472690202811,43.7673082446609
"Blue","place-aqucl",30.9658092175777,5.71548944237821
"Blue","place-bmmnl",810.534379377977,81.2882055978966
"Blue","place-bomnl",16.7048336404032,6.52017793944011
"Blue","place-gover",34.6641118367788,5.81275520455965
"Blue","place-mvbcl",173.770752895753,23.9768427551199
"Blue","place-orhte",619.24634757959,63.8824228650902
"Blue","place-rbmnl",922.829501377256,88.6075133696328
"Blue","place-sdmnl",722.947966842164,75.825883390913
"Blue","place-state",35.7392542445734,9.48272469494117
"Blue","place-wimnl",470.503303787268,56.3679323984876
"Blue","place-wondl",1003.68955997521,93.7384383902257
"Green","place-alsgr",1449.95833333333,100.629963195629
"Green","place-armnl",214.257046316136,55.5767785417172
"Green","place-babck",1092.55555555556,83.1145332720195
"Green","place-bckhl",1628.8466271479,263.083346021306
"Green","place-bcnfd",1482.06655367232,241.553880264513
"Green","place-bcnwa",1626.55709586466,226.899101345426
"Green","place-bland",657.555555555556,49.5233692569892
"Green","place-bndhl",1517.10960407683,212.875883603793
"Green","place-boyls",54.2349180327869,16.9508500106857
"Green","place-brico",1169.33333333333,88.0931654392181
"Green","place-brkhl",1317.64841986456,170.845433288735
"Green","place-brmnl",1124.9305171158,165.529256814272
"Green","place-bucen",805.740740740741,64.646727915645
"Green","place-buest",749.961538461538,55.8171878684197
"Green","place-buwst",927.222222222222,69.4784600452285
"Green","place-bvmnl",1182.71495693031,161.018568436445
"Green","place-chhil",1833.96099426386,210.722244585405
"Green","place-chill",1935.04166666667,111.375775668666
"Green","place-chswk",1873.875,106.984075409868
"Green","place-coecl",340.935710281968,77.1556356565298
"Green","place-cool",1280.07312885351,181.802778073882
"Green","place-denrd",1822.91477495876,243.081405540665
"Green","place-eliot",2360.16999364272,248.815057979061
"Green","place-engav",1901.36995380599,246.582182714397
"Green","place-fbkst",1564.71586109808,218.850714538648
"Green","place-fenwd",1256.08334585901,196.387333375188
"Green","place-fenwy",910.060181281619,145.095865648763
"Green","place-gover",98.6969696969697,14.9446580098142
"Green","place-grigg",1389.625,99.0045288819175
"Green","place-haecl",70.451578067303,30.9593713641945
"Green","place-harvd",1297.33333333333,95.179312086584
"Green","place-hsmnl",1681.88567282725,269.103550956539
"Green","place-hwsst",1015.80268288878,153.799651991768
"Green","place-hymnl",532.461364208407,113.230095539333
"Green","place-kencl",555,42.4264068711929
"Green","place-kntst",1082.88707037643,164.186963881813
"Green","place-lech",548.842704672654,104.564234152621
"Green","place-lngmd",1007.33635533066,151.316272409787
"Green","place-longw",1040.44402654867,152.686927716491
"Green","place-mfa",859.647376922537,137.721414899405
"Green","place-mispk",1413.79494067607,218.170582052001
"Green","place-newtn",2200.94130982368,228.527286282594
"Green","place-newto",2055.90789143001,220.809608447321
"Green","place-north",182.838316369805,65.055350798508
"Green","place-nuniv",684.419133118249,121.554640820295
"Green","place-pktrm",58.7323041071949,34.35428738206
"Green","place-plsgr",1035.74074074074,75.3987311628562
"Green","place-prmnl",499.758304771948,106.723811619004
"Green","place-river",2817.35679188461,292.101057105343
"Green","place-rsmnl",1638.41540612686,193.331156269068
"Green","place-rvrwy",1506.42348701006,226.924652456301
"Green","place-smary",912.734521503293,149.097082131351
"Green","place-sougr",2057,113.917590350676
"Green","place-spmnl",393.262607905497,83.4068892298427
"Green","place-sthld",1810.54166666667,103.392026926084
"Green","place-stplb",973.111111111111,69.8516743554255
"Green","place-stpul",1148.2808735525,170.214575246137
"Green","place-sumav",1425.88914169151,203.36051477312
"Green","place-symcl",601.51088097404,127.74719093046
"Green","place-tapst",1739.56998035363,235.230290910978
"Green","place-waban",2510.15057324841,264.146604114232
"Green","place-wascm",1680.45833333333,103.755556861838
"Green","place-woodl",2686.04212945232,281.001994751461
"Green","place-wrnst",1525.45833333333,107.583326317089
"Orange","place-astao",561.975410450558,106.869520033019
"Orange","place-bbsta",280.94271454112,59.9331402217497
"Orange","place-ccmnl",303.90079305701,82.4245851055599
"Orange","place-chncl",33.8921174191626,16.6254239915457
"Orange","place-dwnxg",40.8856736952295,27.967867541643
"Orange","place-forhl",1139.74340488284,148.76807801399
"Orange","place-grnst",1020.10837359098,139.677839022511
"Orange","place-haecl",50.3298149111722,22.4962672610563
"Orange","place-jaksn",765.528048585584,116.725184484562
"Orange","place-masta",443.580116696589,86.303306173453
"Orange","place-mlmnl",972.475550327676,132.704238649254
"Orange","place-north",169.347864901056,58.8076370298277
"Orange","place-ogmnl",1124.68458936779,143.392537328916
"Orange","place-rcmnl",659.342822966507,110.601255087496
"Orange","place-rugg",562.313847132745,99.26660414577
"Orange","place-sbmnl",896.326003210273,129.079453202984
"Orange","place-state",20.5582484573638,9.68649507255366
"Orange","place-sull",451.750224820144,95.2029488848903
"Orange","place-tumnl",127.782010267093,36.6114627286475
"Orange","place-welln",682.553566989809,110.887036007982
"Red","place-alfcl",1111.75175805262,175.649900712954
"Red","place-andrw",385.356841094575,83.1174816274131
"Red","place-asmnl",1141.55084998509,168.790531905053
"Red","place-brdwy",209.626379955841,54.9465442549326
"Red","place-brntn",1983.83911330049,244.767202006012
"Red","place-chmnl",81.5052216179797,32.9758048430424
"Red","place-cntsq",368.287013862149,87.2765794784351
"Red","place-davis",939.765332690453,163.918254680124
"Red","place-dwnxg",0,0
"Red","place-fldcr",903.839396628216,148.925953397839
"Red","place-harsq",620.24285300367,122.221552796327
"Red","place-jfk",520.864119971628,98.6384430061564
"Red","place-knncl",220.540138608143,64.9008918678353
"Red","place-nqncy",1019.40639398213,178.235169325433
"Red","place-pktrm",19.8686624818928,8.23515030894286
"Red","place-portr",811.436714044808,153.557607081148
"Red","place-qamnl",1638.34872085339,240.340439369205
"Red","place-qnctr",1449.29047753603,236.09864005943
"Red","place-shmnl",667.033768716152,124.395370001879
"Red","place-smmnl",1000.18456973294,152.042612249155
"Red","place-sstat",25.3937155193092,24.770179281769
"Red","place-wlsta",1195.71542803387,212.811119541283
