"route_id","parent_station","avg_headway_wkdy","avg_headway_wknd"
"Blue","place-aport",358,557.5
"Blue","place-aqucl",360,555
"Blue","place-bmmnl",358,563.5
"Blue","place-bomnl",358,555
"Blue","place-gover",360,555
"Blue","place-mvbcl",358,555
"Blue","place-orhte",358,558
"Blue","place-rbmnl",360,563.5
"Blue","place-sdmnl",358,560.5
"Blue","place-state",360,555
"Blue","place-wimnl",360,560.5
"Blue","place-wondl",358,563.5
"Green","place-alsgr",395,506
"Green","place-armnl",105,147
"Green","place-babck",392,508
"Green","place-bckhl",414,670
"Green","place-bcnfd",454,596.5
"Green","place-bcnwa",424,584
"Green","place-bland",397,508
"Green","place-bndhl",424,584
"Green","place-boyls",105,147
"Green","place-brico",395,508
"Green","place-brkhl",450,600
"Green","place-brmnl",414,673
"Green","place-bucen",395,508
"Green","place-buest",395,508
"Green","place-buwst",395,506
"Green","place-bvmnl",450,600
"Green","place-chhil",454,594
"Green","place-chill",395,506
"Green","place-chswk",395,506
"Green","place-clmnl",424,586.5
"Green","place-coecl",105,147
"Green","place-cool",427,580.5
"Green","place-denrd",424,584
"Green","place-eliot",457,594
"Green","place-engav",424,584
"Green","place-fbkst",424,584
"Green","place-fenwd",414,673
"Green","place-fenwy",450,594
"Green","place-gover",144,207.5
"Green","place-grigg",395,506
"Green","place-haecl",212,318
"Green","place-harvd",395,506
"Green","place-hsmnl",417,670
"Green","place-hwsst",427,586.5
"Green","place-hymnl",141,188
"Green","place-kencl",141,187
"Green","place-kntst",424,586.5
"Green","place-lake",392,506
"Green","place-lech",420,683
"Green","place-lngmd",417,673
"Green","place-longw",450,594
"Green","place-mfa",417,673
"Green","place-mispk",414,670
"Green","place-newtn",457,594
"Green","place-newto",457,594
"Green","place-north",212,318
"Green","place-nuniv",417,675
"Green","place-pktrm",105,147.5
"Green","place-plsgr",395,508
"Green","place-prmnl",414,678
"Green","place-river",461,594
"Green","place-rsmnl",454,594
"Green","place-rvrwy",414,670
"Green","place-smary",427,586.5
"Green","place-sougr",392,506
"Green","place-spmnl",417,683
"Green","place-sthld",395,502
"Green","place-stplb",395,508
"Green","place-stpul",427,586.5
"Green","place-sumav",427,584
"Green","place-symcl",414,675
"Green","place-tapst",424,584
"Green","place-waban",457,594
"Green","place-wascm",395,502
"Green","place-woodl",461,594
"Green","place-wrnst",392,506
"Mattapan","place-asmnl",397,879.5
"Mattapan","place-butlr",400,886
"Mattapan","place-capst",400,886
"Mattapan","place-cedgr",397,886
"Mattapan","place-cenav",400,886
"Mattapan","place-matt",400,886
"Mattapan","place-miltt",400,886
"Mattapan","place-valrd",400,886
"Orange","place-astao",406,642
"Orange","place-bbsta",403,631
"Orange","place-ccmnl",403,635
"Orange","place-chncl",403,638
"Orange","place-dwnxg",403,638
"Orange","place-forhl",406,634
"Orange","place-grnst",406,630
"Orange","place-haecl",406,638
"Orange","place-jaksn",403,631
"Orange","place-masta",406,634
"Orange","place-mlmnl",406,639
"Orange","place-north",403,638
"Orange","place-ogmnl",406,643.5
"Orange","place-rcmnl",403,634
"Orange","place-rugg",406,634
"Orange","place-sbmnl",403,627
"Orange","place-state",406,638
"Orange","place-sull",406,639
"Orange","place-tumnl",403,635
"Orange","place-welln",403,642
"Red","place-alfcl",300,437
"Red","place-andrw",300,430
"Red","place-asmnl",633,862.5
"Red","place-brdwy",300,431.5
"Red","place-brntn",582,862.5
"Red","place-chmnl",300,432
"Red","place-cntsq",298,435.5
"Red","place-davis",298,437
"Red","place-dwnxg",298,431.5
"Red","place-fldcr",626,855.5
"Red","place-harsq",298,435.5
"Red","place-jfk",300,428.5
"Red","place-knncl",298,433.5
"Red","place-nqncy",576,855.5
"Red","place-pktrm",298,433.5
"Red","place-portr",298,435.5
"Red","place-qamnl",582,855.5
"Red","place-qnctr",582,855.5
"Red","place-shmnl",626,855.5
"Red","place-smmnl",626,855.5
"Red","place-sstat",300,431.5
"Red","place-wlsta",576,855.5
