,route_id,parent_station,land_use_entropy
0,Blue,place-aport,0.8651487335543099
1,Blue,place-aqucl,0.6958436149447059
2,Blue,place-bmmnl,0.5502840485192027
3,Blue,place-bomnl,0.7962371446556542
4,Blue,place-gover,0.6108861888794898
5,Blue,place-mvbcl,0.8224365838875413
6,Blue,place-orhte,0.7699225817166846
7,Blue,place-rbmnl,0.4701384782607319
8,Blue,place-sdmnl,0.6657279881901204
9,Blue,place-state,0.40909453721241984
10,Blue,place-wimnl,0.8468202951241663
11,Blue,place-wondl,0.5160070741941555
12,Green,place-alsgr,0.8024150168242494
13,Green,place-amory,0.6473939198728075
14,Green,place-armnl,0.5877668273918669
15,Green,place-babck,0.6993023103754176
16,Green,place-balsq,0.45201495366683686
17,Green,place-bckhl,0.7791587264956377
18,Green,place-bcnfd,0.45744638403423254
19,Green,place-bcnwa,0.7556721752394573
20,Green,place-bland,0.6090080097955433
21,Green,place-bndhl,0.2865743461461971
22,Green,place-boyls,0.7265242521914257
23,Green,place-brico,0.8137533385701009
24,Green,place-brkhl,0.5859846147947909
25,Green,place-brmnl,0.36442754705380276
26,Green,place-bucen,0.799419628478985
27,Green,place-buest,0.1542691188823878
28,Green,place-bvmnl,0.7947368356953473
29,Green,place-chhil,0.6695495832477787
30,Green,place-chill,0.680567973770381
31,Green,place-chswk,0.6369349076201989
32,Green,place-clmnl,0.7608073605629068
33,Green,place-coecl,0.5743160614272294
34,Green,place-cool,0.8873599757325566
35,Green,place-denrd,0.7367720003930024
36,Green,place-eliot,0.2996108400138028
37,Green,place-engav,0.3697470682340754
38,Green,place-esomr,0.8351973587407647
39,Green,place-fbkst,0.6093191601356828
40,Green,place-fenwd,0.29118315669501976
41,Green,place-fenwy,0.680598110653471
42,Green,place-gilmn,0.42926425168565446
43,Green,place-gover,0.4411839615781728
44,Green,place-grigg,0.7378189146165236
45,Green,place-haecl,0.8665410089559057
46,Green,place-harvd,0.725012001802173
47,Green,place-hsmnl,0.5210231286357384
48,Green,place-hwsst,0.736449723398994
49,Green,place-hymnl,0.8970365173433742
50,Green,place-kencl,0.8574793932456223
51,Green,place-kntst,0.8542173605337031
52,Green,place-lake,0.4434610450164084
53,Green,place-lech,0.9230992384924721
54,Green,place-lngmd,0.40808328515183084
55,Green,place-longw,0.21708942826936456
56,Green,place-mdftf,0.500603180388366
57,Green,place-mfa,0.3331884933681934
58,Green,place-mgngl,0.4807028970299605
59,Green,place-mispk,0.285857731191501
60,Green,place-newtn,0.43013545343189086
61,Green,place-newto,0.5538512865451302
62,Green,place-north,0.7992466904350657
63,Green,place-nuniv,0.6902296768009102
64,Green,place-pktrm,0.5478291063266155
65,Green,place-prmnl,0.6496761970217771
66,Green,place-river,0.6712357979480681
67,Green,place-rsmnl,0.4850863801240132
68,Green,place-rvrwy,0.6158899703493134
69,Green,place-smary,0.7691892555831996
70,Green,place-sougr,0.7013125380879315
71,Green,place-spmnl,0.6088655267911578
72,Green,place-sthld,0.31835887237909977
73,Green,place-stpul,0.6553814338574432
74,Green,place-sumav,0.7530056541220955
75,Green,place-symcl,0.7739627370003922
76,Green,place-tapst,0.7645455573231866
77,Green,place-unsqu,0.7168820592519597
78,Green,place-waban,0.24682382467587782
79,Green,place-wascm,0.5539585167868987
80,Green,place-woodl,0.6250561514911246
81,Green,place-wrnst,0.7797542342851085
82,Mattapan,place-asmnl,0.8293731845371363
83,Mattapan,place-butlr,0.6223338097721526
84,Mattapan,place-capst,0.275957799485396
85,Mattapan,place-cedgr,0.44988534375348316
86,Mattapan,place-cenav,0.522993206901145
87,Mattapan,place-matt,0.7907794288448426
88,Mattapan,place-miltt,0.7818752532692962
89,Mattapan,place-valrd,-0.0
90,Orange,place-astao,0.7996207111286073
91,Orange,place-bbsta,0.5657685664373583
92,Orange,place-ccmnl,0.9534777786644073
93,Orange,place-chncl,0.7179196519047588
94,Orange,place-dwnxg,0.5362629367753755
95,Orange,place-forhl,0.8509845455944479
96,Orange,place-grnst,0.8423051772143981
97,Orange,place-haecl,0.886568869724833
98,Orange,place-jaksn,0.7372243862663187
99,Orange,place-masta,0.8366330197122364
100,Orange,place-mlmnl,0.9276325315228461
101,Orange,place-north,0.7598760981557263
102,Orange,place-ogmnl,0.4778868642003879
103,Orange,place-rcmnl,0.6020660838037072
104,Orange,place-rugg,0.5056714276078658
105,Orange,place-sbmnl,0.8379456910169182
106,Orange,place-state,0.36674112781049484
107,Orange,place-sull,0.9190503059940439
108,Orange,place-tumnl,0.7783299448021804
109,Orange,place-welln,0.7943131465443921
110,Red,place-alfcl,0.6874929396569303
111,Red,place-andrw,0.797757350452895
112,Red,place-asmnl,0.8174415661895005
113,Red,place-brdwy,0.8114184649248407
114,Red,place-brntn,0.7532049135969754
115,Red,place-chmnl,0.6924917849425481
116,Red,place-cntsq,0.6603982381132806
117,Red,place-davis,0.5175490336536874
118,Red,place-dwnxg,0.5571493227333401
119,Red,place-fldcr,0.9254968381693442
120,Red,place-harsq,0.7519963866433655
121,Red,place-jfk,0.7954905620134869
122,Red,place-knncl,0.9124467900530553
123,Red,place-nqncy,0.8007476059922651
124,Red,place-pktrm,0.673879473671008
125,Red,place-portr,0.4067208973406078
126,Red,place-qamnl,0.7434867382480788
127,Red,place-qnctr,0.7720208894731805
128,Red,place-shmnl,0.8353874061836871
129,Red,place-smmnl,0.8961531745713092
130,Red,place-sstat,0.44514094392401005
131,Red,place-wlsta,0.5509399026426844
