"route_id","parent_station","connecting_cr_routes","connecting_bus_routes","connecting_bus_riders"
"Red","place-alfcl",0,7,2208.88807359307
"Red","place-davis",0,6,3591.36774479211
"Red","place-portr",1,3,1469.02622554711
"Red","place-harsq",0,7,3226.80785702838
"Red","place-cntsq",0,0,0
"Red","place-knncl",0,3,823.419403095238
"Red","place-chmnl",0,0,0
"Red","place-pktrm",0,0,0
"Red","place-dwnxg",0,0,0
"Red","place-sstat",9,3,1820.7876827572
"Red","place-brdwy",0,3,2000.09033391287
"Red","place-andrw",0,7,4395.92476480778
"Red","place-jfk",3,3,3470.53937400319
"Red","place-shmnl",0,0,0
"Red","place-fldcr",0,8,3984.17488798879
"Red","place-smmnl",0,0,0
"Red","place-asmnl",0,11,7217.92773596965
"Red","place-nqncy",0,7,1960.80708458208
"Red","place-wlsta",0,0,0
"Red","place-qnctr",3,16,8142.14049954539
"Red","place-qamnl",0,0,0
"Red","place-brntn",2,3,1128.6401510989
"Mattapan","place-asmnl",0,11,7217.92773596965
"Mattapan","place-cedgr",0,0,0
"Mattapan","place-butlr",0,0,0
"Mattapan","place-miltt",0,0,0
"Mattapan","place-cenav",0,0,0
"Mattapan","place-valrd",0,0,0
"Mattapan","place-capst",0,0,0
"Mattapan","place-matt",0,10,5677.10380207175
"Orange","place-ogmnl",0,4,1539.58626984127
"Orange","place-mlmnl",1,13,7286.73837257474
"Orange","place-welln",0,9,5349.09238716165
"Orange","place-astao",0,0,0
"Orange","place-sull",0,12,7953.1804267647
"Orange","place-ccmnl",0,0,0
"Orange","place-north",4,1,100.206666666667
"Orange","place-haecl",0,8,5260.3677602651
"Orange","place-state",0,2,325.137380952381
"Orange","place-dwnxg",0,0,0
"Orange","place-chncl",0,0,0
"Orange","place-tumnl",0,4,2586.99666128144
"Orange","place-bbsta",5,3,1782.72445918414
"Orange","place-masta",0,2,1106.2611241536
"Orange","place-rugg",3,14,10704.3253410116
"Orange","place-rcmnl",0,3,3276.08778892422
"Orange","place-jaksn",0,5,3403.24168521867
"Orange","place-sbmnl",0,0,0
"Orange","place-grnst",0,0,0
"Orange","place-forhl",1,17,13778.2922002743
"Green","place-pktrm",0,0,0
"Green","place-boyls",0,0,0
"Green","place-armnl",0,0,0
"Green","place-coecl",0,0,0
"Green","place-hymnl",0,2,2164.9365299821
"Green","place-kencl",0,7,4798.57810128149
"Green","place-bland",0,0,0
"Green","place-buest",0,0,0
"Green","place-bucen",0,0,0
"Green","place-buwst",0,0,0
"Green","place-stplb",0,0,0
"Green","place-plsgr",0,0,0
"Green","place-babck",0,0,0
"Green","place-brico",0,0,0
"Green","place-harvd",0,0,0
"Green","place-grigg",0,0,0
"Green","place-alsgr",0,0,0
"Green","place-wrnst",0,0,0
"Green","place-wascm",0,0,0
"Green","place-sthld",0,0,0
"Green","place-chswk",0,0,0
"Green","place-chill",0,0,0
"Green","place-sougr",0,0,0
"Green","place-lake",0,0,0
"Green","place-north",4,1,100.206666666667
"Green","place-haecl",0,8,5260.3677602651
"Green","place-gover",0,2,325.137380952381
"Green","place-smary",0,0,0
"Green","place-hwsst",0,0,0
"Green","place-kntst",0,0,0
"Green","place-stpul",0,0,0
"Green","place-cool",0,1,1491.03167910237
"Green","place-sumav",0,0,0
"Green","place-bndhl",0,0,0
"Green","place-fbkst",0,0,0
"Green","place-bcnwa",0,1,424.515097402597
"Green","place-tapst",0,0,0
"Green","place-denrd",0,0,0
"Green","place-engav",0,0,0
"Green","place-clmnl",0,0,0
"Green","place-fenwy",0,3,2439.0781123611
"Green","place-longw",0,0,0
"Green","place-bvmnl",0,0,0
"Green","place-brkhl",0,0,0
"Green","place-bcnfd",0,0,0
"Green","place-rsmnl",0,2,1591.91591800356
"Green","place-chhil",0,0,0
"Green","place-newto",0,0,0
"Green","place-newtn",0,0,0
"Green","place-eliot",0,0,0
"Green","place-waban",0,0,0
"Green","place-woodl",0,0,0
"Green","place-river",0,1,214.9
"Green","place-lech",0,4,2389.32671709975
"Green","place-spmnl",0,0,0
"Green","place-prmnl",0,0,0
"Green","place-symcl",0,0,0
"Green","place-nuniv",0,2,1776.23634548412
"Green","place-mfa",0,0,0
"Green","place-lngmd",0,0,0
"Green","place-brmnl",0,0,0
"Green","place-fenwd",0,0,0
"Green","place-mispk",0,0,0
"Green","place-rvrwy",0,0,0
"Green","place-bckhl",0,0,0
"Green","place-hsmnl",0,3,2077.88350098427
"Blue","place-wondl",0,11,8269.03629897492
"Blue","place-rbmnl",0,0,0
"Blue","place-bmmnl",0,1,560.579090909091
"Blue","place-sdmnl",0,0,0
"Blue","place-orhte",0,3,1665.83222954823
"Blue","place-wimnl",0,3,1288.98883968972
"Blue","place-aport",0,2,762.649269744007
"Blue","place-mvbcl",0,5,3187.27274760124
"Blue","place-aqucl",0,0,0
"Blue","place-state",0,2,325.137380952381
"Blue","place-gover",0,2,325.137380952381
"Blue","place-bomnl",0,0,0
