"season","route_id","parent_station","avg_boardings_wkdy","avg_boardings_wknd","avg_alightings_wkdy","avg_alightings_wknd","avg_boardings","avg_alightings"
"Fall 2023","Blue","place-aport",7747.54929577465,5796.77419354839,5788.49295774648,4438.41935483871,7154.66666666667,5378.17647058824
"Fall 2023","Blue","place-aqucl",3522.33802816901,3163.03225806452,4027.7323943662,3303.12903225806,3413.13725490196,3807.50980392157
"Fall 2023","Blue","place-bmmnl",3216.83098591549,1949.87096774194,3380.57746478873,2210.1935483871,2831.77450980392,3024.87254901961
"Fall 2023","Blue","place-bomnl",2084.19718309859,867.387096774194,2295.3661971831,841.322580645161,1714.38235294118,1853.45098039216
"Fall 2023","Blue","place-gover",10556.5774647887,7804.16129032258,11300.5915492958,8367.1935483871,9720.05882352941,10409.068627451
"Fall 2023","Blue","place-mvbcl",10113.8732394366,6988.96774193548,10527.2676056338,7658.87096774194,9164.14705882353,9655.5
"Fall 2023","Blue","place-orhte",4173.95774647887,2665.12903225806,3918.23943661972,2654.48387096774,3715.39215686275,3534.1568627451
"Fall 2023","Blue","place-rbmnl",3136.16901408451,2117.35483870968,3240.18309859155,2341.22580645161,2826.52941176471,2966.97058823529
"Fall 2023","Blue","place-sdmnl",705.098591549296,468.806451612903,728.239436619718,455.548387096774,633.28431372549,645.362745098039
"Fall 2023","Blue","place-state",10643.7042253521,6388.25806451613,12309.0985915493,6997.90322580645,9350.38235294118,10694.9117647059
"Fall 2023","Blue","place-wimnl",2630.46315789474,1715.8,1258.48421052632,876.25,2359.45185185185,1145.22962962963
"Fall 2023","Blue","place-wondl",5333.83098591549,3315.51612903226,4629.18309859155,2792.48387096774,4720.42156862745,4070.97058823529
"Fall 2023","Green","place-alsgr",803.642857142857,328.190476190476,353.142857142857,171.571428571429,645.15873015873,292.619047619048
"Fall 2023","Green","place-amory",512.309523809524,219.714285714286,285.47619047619,108.666666666667,414.777777777778,226.539682539683
"Fall 2023","Green","place-armnl",4827.92857142857,3931,5277.95238095238,3922.47619047619,4528.95238095238,4826.12698412698
"Fall 2023","Green","place-babck",508.904761904762,290.809523809524,388.547619047619,237.428571428571,436.206349206349,338.174603174603
"Fall 2023","Green","place-balsq",416.428571428571,113.333333333333,321.738095238095,152.52380952381,315.396825396825,265.333333333333
"Fall 2023","Green","place-bckhl",188.5,75.2857142857143,141.833333333333,75.8571428571429,150.761904761905,119.84126984127
"Fall 2023","Green","place-bcnfd",361.690476190476,145.047619047619,202,82.4761904761905,289.47619047619,162.15873015873
"Fall 2023","Green","place-bcnwa",543.714285714286,249.142857142857,333.952380952381,201.095238095238,445.52380952381,289.666666666667
"Fall 2023","Green","place-bland",448.047619047619,130.142857142857,269.190476190476,116.428571428571,342.079365079365,218.269841269841
"Fall 2023","Green","place-bndhl",225.666666666667,101.666666666667,106.97619047619,60.6666666666667,184.333333333333,91.5396825396825
"Fall 2023","Green","place-boyls",4375.7380952381,4197.42857142857,4395.69047619048,3769.42857142857,4316.30158730159,4186.93650793651
"Fall 2023","Green","place-brico",788.595238095238,357.285714285714,469.761904761905,262.714285714286,644.825396825397,400.746031746032
"Fall 2023","Green","place-brkhl",381.785714285714,143.428571428571,193.166666666667,91.2380952380952,302.333333333333,159.190476190476
"Fall 2023","Green","place-brmnl",597.285714285714,151.190476190476,633.690476190476,239.47619047619,448.587301587302,502.285714285714
"Fall 2023","Green","place-bucen",506,150.52380952381,378.857142857143,169.333333333333,387.507936507937,309.015873015873
"Fall 2023","Green","place-buest",465.333333333333,128.142857142857,251.119047619048,78.8571428571429,352.936507936508,193.698412698413
"Fall 2023","Green","place-bvmnl",629.619047619048,272.809523809524,528.666666666667,302.190476190476,510.68253968254,453.174603174603
"Fall 2023","Green","place-chhil",404.952380952381,171,224.261904761905,91.3809523809524,326.968253968254,179.968253968254
"Fall 2023","Green","place-chill",460.285714285714,211.904761904762,424.857142857143,250.761904761905,377.492063492063,366.825396825397
"Fall 2023","Green","place-chswk",532.571428571429,238.761904761905,300.285714285714,191.952380952381,434.634920634921,264.174603174603
"Fall 2023","Green","place-clmnl",217.97619047619,102.238095238095,346.261904761905,243,179.396825396825,311.84126984127
"Fall 2023","Green","place-coecl",8357.66666666667,7697.57142857143,8854.66666666667,7120.38095238095,8137.63492063492,8276.57142857143
"Fall 2023","Green","place-cool",1300.35714285714,688.761904761905,712.452380952381,584.333333333333,1096.49206349206,669.746031746032
"Fall 2023","Green","place-denrd",226.761904761905,123.619047619048,144.333333333333,96.3809523809524,192.380952380952,128.349206349206
"Fall 2023","Green","place-eliot",290.642857142857,120.285714285714,138.261904761905,65.0952380952381,233.857142857143,113.873015873016
"Fall 2023","Green","place-engav",347.833333333333,154.238095238095,177.642857142857,115.190476190476,283.301587301587,156.825396825397
"Fall 2023","Green","place-esomr",128.714285714286,44.9523809523809,305.880952380952,120.904761904762,100.793650793651,244.222222222222
"Fall 2023","Green","place-fbkst",270.690476190476,119.095238095238,148.166666666667,72.7619047619048,220.15873015873,123.031746031746
"Fall 2023","Green","place-fenwd",267.047619047619,86.6190476190476,276.833333333333,140.666666666667,206.904761904762,231.444444444444
"Fall 2023","Green","place-fenwy",528.97619047619,241.619047619048,494.714285714286,257.238095238095,433.190476190476,415.555555555556
"Fall 2023","Green","place-gilmn",889.97619047619,156.857142857143,575,272.47619047619,645.603174603175,474.15873015873
"Fall 2023","Green","place-gover",13236.2619047619,10481.9047619048,12681.7857142857,9826.38095238095,12318.1428571429,11729.9841269841
"Fall 2023","Green","place-grigg",656.97619047619,260.428571428571,302.428571428571,185.904761904762,524.793650793651,263.587301587302
"Fall 2023","Green","place-haecl",3639.09523809524,3856.33333333333,3684.35714285714,3293.95238095238,3711.50793650794,3554.22222222222
"Fall 2023","Green","place-harvd",1560.33333333333,746.904761904762,1375.07142857143,907.380952380952,1289.19047619048,1219.1746031746
"Fall 2023","Green","place-hsmnl",188.809523809524,54.4285714285714,1553.35714285714,231.761904761905,144.015873015873,1112.8253968254
"Fall 2023","Green","place-hwsst",150.952380952381,76.7142857142857,60.9523809523809,29.047619047619,126.206349206349,50.3174603174603
"Fall 2023","Green","place-hymnl",7165.14285714286,7242.28571428571,7844.30952380952,7020.80952380952,7190.85714285714,7569.80952380952
"Fall 2023","Green","place-kencl",5203.45238095238,3732.66666666667,6029.33333333333,4440.19047619048,4713.19047619048,5499.61904761905
"Fall 2023","Green","place-kntst",220.904761904762,88.5238095238095,74.5476190476191,38.3809523809524,176.777777777778,62.4920634920635
"Fall 2023","Green","place-lake",460.309523809524,179.809523809524,367,171.52380952381,366.809523809524,301.84126984127
"Fall 2023","Green","place-lech",1115.35714285714,213.428571428571,1167.95238095238,458.333333333333,814.714285714286,931.412698412698
"Fall 2023","Green","place-lngmd",514.142857142857,143.809523809524,644.571428571429,331.619047619048,390.698412698413,540.253968253968
"Fall 2023","Green","place-longw",552.309523809524,155.666666666667,563.928571428571,144.952380952381,420.095238095238,424.269841269841
"Fall 2023","Green","place-mdftf",1544.7380952381,182.095238095238,527.452380952381,234.666666666667,1090.52380952381,429.857142857143
"Fall 2023","Green","place-mfa",357,156.285714285714,266.238095238095,147.142857142857,290.095238095238,226.539682539683
"Fall 2023","Green","place-mgngl",321.547619047619,96.9047619047619,322.071428571429,163.52380952381,246.666666666667,269.222222222222
