"route_id","parent_station","walk_poly_wkt"
"Red","place-brdwy","POLYGON ((-71.06581 42.3443, -71.0656 42.3437, -71.0653 42.34288, -71.06508 42.34259, -71.06372 42.3408, -71.06297 42.33981, -71.05886 42.33683, -71.05805 42.33559, -71.05712 42.33508, -71.05704 42.33508, -71.05571 42.33525, -71.05052 42.33716, -71.04943 42.33759, -71.04926 42.33775, -71.04893 42.34226, -71.04969 42.34547, -71.05021 42.34603, -71.05103 42.34678, -71.05275 42.3483, -71.053 42.34804, -71.05356 42.34749, -71.05692 42.34599, -71.06047 42.34749, -71.06082 42.34758, -71.06516 42.34566, -71.06536 42.34551, -71.06537 42.34549, -71.06586 42.34448, -71.06581 42.3443))"
"Red","place-andrw","POLYGON ((-71.06674 42.33125, -71.06602 42.32974, -71.06491 42.32817, -71.06099 42.32483, -71.06022 42.32394, -71.05993 42.32373, -71.05701 42.32348, -71.05665 42.32349, -71.05513 42.32397, -71.05349 42.32454, -71.05241 42.3253, -71.05227 42.32541, -71.05192 42.32566, -71.05165 42.32587, -71.04992 42.3275, -71.04904 42.32992, -71.04905 42.33026, -71.04906 42.33062, -71.04932 42.33312, -71.04948 42.33354, -71.04963 42.33387, -71.05378 42.33649, -71.05379 42.33649, -71.05695 42.33743, -71.05726 42.33736, -71.05744 42.33725, -71.06262 42.3343, -71.06289 42.33433, -71.06298 42.33434, -71.0638 42.33435, -71.06408 42.33413, -71.06667 42.33161, -71.06674 42.33125))"
"Red","place-jfk","POLYGON ((-71.06025 42.32198, -71.0605 42.31994, -71.05993 42.31891, -71.05921 42.31765, -71.05738 42.31622, -71.05687 42.31596, -71.05353 42.31426, -71.05292 42.31399, -71.05257 42.31392, -71.04799 42.31447, -71.04766 42.31461, -71.0434 42.31805, -71.04328 42.31839, -71.04327 42.3186, -71.04331 42.31897, -71.04341 42.31932, -71.04413 42.32163, -71.04424 42.3218, -71.04434 42.32197, -71.04805 42.32579, -71.04855 42.32624, -71.05215 42.32757, -71.05251 42.32756, -71.05497 42.32633, -71.05967 42.32284, -71.06014 42.32233, -71.06025 42.32198))"
"Red","place-shmnl","POLYGON ((-71.06124 42.31135, -71.0608 42.3101, -71.06076 42.31003, -71.06068 42.30994, -71.05862 42.3076, -71.05318 42.30654, -71.04738 42.307, -71.04707 42.30717, -71.04679 42.30747, -71.0459 42.30934, -71.04573 42.31141, -71.04576 42.31169, -71.04599 42.31211, -71.04663 42.31328, -71.04681 42.31332, -71.04946 42.31329, -71.05242 42.31735, -71.0524 42.31782, -71.05242 42.31832, -71.05244 42.31881, -71.0528 42.31879, -71.05689 42.31702, -71.05771 42.31664, -71.06059 42.31518, -71.06195 42.31414, -71.06207 42.31398, -71.06124 42.31135))"
"Red","place-fldcr","POLYGON ((-71.07104 42.29849, -71.07094 42.29814, -71.0705 42.29755, -71.06804 42.29585, -71.06728 42.2956, -71.06148 42.29508, -71.05646 42.29618, -71.05641 42.2962, -71.05562 42.29652, -71.05537 42.29685, -71.05517 42.29749, -71.05467 42.29934, -71.05431 42.301, -71.05524 42.30445, -71.0555 42.30492, -71.05853 42.3064, -71.05888 42.30647, -71.06174 42.30633, -71.06547 42.30577, -71.06578 42.30558, -71.06995 42.30274, -71.07046 42.30227, -71.07104 42.29849))"
"Red","place-smmnl","POLYGON ((-71.07398 42.29164, -71.07407 42.29071, -71.07396 42.29033, -71.07387 42.29023, -71.07277 42.28924, -71.07122 42.28836, -71.06612 42.28631, -71.06476 42.28639, -71.06443 42.28655, -71.06435 42.2866, -71.06092 42.28915, -71.05902 42.29139, -71.05732 42.2937, -71.05723 42.29475, -71.05733 42.2951, -71.05856 42.29697, -71.06325 42.29963, -71.06495 42.29958, -71.06639 42.29914, -71.06711 42.29892, -71.0707 42.29699, -71.07143 42.29638, -71.07266 42.29464, -71.07358 42.29292, -71.07398 42.29164))"
"Red","place-asmnl","POLYGON ((-71.07383 42.28245, -71.0728 42.28151, -71.06848 42.27898, -71.06644 42.27771, -71.06637 42.2777, -71.06347 42.27831, -71.05992 42.27884, -71.05961 42.27901, -71.05872 42.27988, -71.05632 42.2824, -71.0554 42.28345, -71.05527 42.28485, -71.05533 42.28578, -71.05648 42.28802, -71.06138 42.29113, -71.06249 42.29157, -71.06284 42.29167, -71.06576 42.2911, -71.06706 42.29082, -71.06942 42.2901, -71.07227 42.28551, -71.0739 42.28281, -71.07383 42.28245))"
"Red","place-nqncy","POLYGON ((-71.03594 42.279, -71.03601 42.27807, -71.0362 42.27455, -71.03621 42.27419, -71.0346 42.26986, -71.03449 42.26956, -71.03447 42.26954, -71.03441 42.26951, -71.03178 42.26934, -71.02861 42.26946, -71.02465 42.26961, -71.02357 42.26964, -71.02333 42.2699, -71.02215 42.27114, -71.02196 42.27145, -71.02144 42.27659, -71.02116 42.27838, -71.02152 42.27889, -71.02388 42.28091, -71.0242 42.28106, -71.02916 42.28168, -71.02925 42.28167, -71.03297 42.2809, -71.03396 42.28039, -71.03593 42.27907, -71.03594 42.279))"
"Red","place-wlsta","POLYGON ((-71.0253 42.2694, -71.02561 42.26731, -71.02597 42.265, -71.02596 42.26343, -71.02578 42.26312, -71.02342 42.26241, -71.0203 42.26201, -71.01806 42.2618, -71.01606 42.2619, -71.01582 42.26217, -71.01495 42.26359, -71.01484 42.26394, -71.01504 42.26699, -71.01505 42.26727, -71.01539 42.26842, -71.01583 42.26872, -71.01618 42.26882, -71.01801 42.26911, -71.02055 42.2691, -71.02486 42.27072, -71.02511 42.27045, -71.0253 42.2694))"
"Red","place-qnctr","POLYGON ((-71.01242 42.24981, -71.01179 42.24872, -71.01165 42.24861, -71.00845 42.24686, -71.0066 42.24532, -71.00642 42.24523, -71.00528 42.24497, -71.00527 42.24497, -71.00406 42.24486, -71.00057 42.24607, -70.99816 42.24782, -70.99619 42.24981, -70.99623 42.25017, -70.99748 42.25466, -70.99769 42.25496, -70.99993 42.25638, -71.00397 42.25705, -71.00785 42.25743, -71.01046 42.25712, -71.01065 42.25681, -71.01111 42.25602, -71.01216 42.25424, -71.01242 42.24981))"
