"route_id","parent_station","in_bos","km_from_cbd"
"Red","place-alfcl",0,7.99500889558997
"Red","place-davis",0,6.80605111862851
"Red","place-portr",0,6.03660041260644
"Red","place-harsq",0,5.1634235858184
"Red","place-cntsq",0,3.68357127047251
"Red","place-knncl",0,2.20620686591604
"Red","place-chmnl",1,1.02819108781862
"Red","place-pktrm",1,0.183707203997856
"Red","place-dwnxg",1,0.118688983311818
"Red","place-sstat",1,0.587723078880649
"Red","place-brdwy",1,1.41428400997529
"Red","place-andrw",1,2.76822704671857
"Red","place-jfk",1,3.87466524814429
"Red","place-shmnl",1,4.89175594697906
"Red","place-fldcr",1,6.08988654232687
"Red","place-smmnl",1,6.87294369082043
"Red","place-asmnl",1,7.82204302641241
"Red","place-nqncy",0,9.22758563956264
"Red","place-wlsta",0,10.3873086038328
"Red","place-qnctr",0,12.3490083465361
"Red","place-qamnl",0,14.221170051756
"Red","place-brntn",0,17.0751528309926
"Mattapan","place-asmnl",1,7.82204302641241
"Mattapan","place-cedgr",1,8.36331907836832
"Mattapan","place-butlr",1,9.16308121466565
"Mattapan","place-miltt",0,9.40603085011879
"Mattapan","place-cenav",0,9.48141140742192
"Mattapan","place-valrd",0,9.75533448118759
"Mattapan","place-capst",0,9.93564274015297
"Mattapan","place-matt",1,10.0293661626473
"Orange","place-ogmnl",0,9.11671860772208
"Orange","place-mlmnl",0,8.0339646313121
"Orange","place-welln",0,5.42629589374655
"Orange","place-astao",0,4.40646212035572
"Orange","place-sull",1,3.47309976377586
"Orange","place-ccmnl",1,2.18236802325684
"Orange","place-north",1,1.18390323680507
"Orange","place-haecl",1,0.93610982074332
"Orange","place-state",1,0.549831112212388
"Orange","place-dwnxg",1,0.118688983311818
"Orange","place-chncl",1,0.285477769230172
"Orange","place-tumnl",1,0.619164825443528
"Orange","place-bbsta",1,1.44800773092598
"Orange","place-masta",1,2.34628493146001
"Orange","place-rugg",1,3.0647136418442
"Orange","place-rcmnl",1,3.83286919494041
"Orange","place-jaksn",1,4.72889686596085
"Orange","place-sbmnl",1,5.49004365377125
"Orange","place-grnst",1,6.2197873710644
"Orange","place-forhl",1,7.4158017146807
"Green","place-gover",1,0.561739304970966
"Green","place-pktrm",1,0.183707203997856
"Green","place-boyls",1,0.335839538075614
"Green","place-armnl",1,0.849519454558747
"Green","place-coecl",1,1.43029255361493
"Green","place-hymnl",1,2.31766470957048
"Green","place-kencl",1,2.85872122517635
"Green","place-bland",1,3.26046800742883
"Green","place-buest",1,3.5462275290335
"Green","place-bucen",1,3.78269720863748
"Green","place-amory",1,4.41538869009443
"Green","place-babck",1,4.83415240048067
"Green","place-brico",1,5.25119985228631
"Green","place-harvd",1,5.78541496113496
"Green","place-grigg",1,6.0994715092648
"Green","place-alsgr",1,6.34361000289659
"Green","place-wrnst",1,6.55289492657806
"Green","place-wascm",1,6.82114118600715
"Green","place-sthld",1,7.14037633078079
"Green","place-chswk",1,7.52250272048807
"Green","place-chill",1,7.78486635252343
"Green","place-sougr",1,8.11055286506059
"Green","place-lake",0,8.8355618443833
"Green","place-smary",0,3.91292323658227
"Green","place-hwsst",0,4.2454173215817
"Green","place-kntst",0,4.51239575027291
"Green","place-stpul",0,4.75693629095543
"Green","place-cool",0,5.13187674068631
"Green","place-sumav",0,5.50703044856964
"Green","place-bndhl",0,5.81557428968815
"Green","place-fbkst",0,5.9822938245245
"Green","place-bcnwa",0,6.32951408556568
"Green","place-tapst",0,6.62522865845495
"Green","place-denrd",0,6.89479801552652
"Green","place-engav",0,7.22197312298203
"Green","place-clmnl",1,7.53777268376329
"Green","place-unsqu",0,3.70893873023513
"Green","place-lech",0,2.23212515358917
"Green","place-spmnl",1,1.40245857846306
"Green","place-north",1,1.18390323680507
"Green","place-haecl",1,0.93610982074332
"Green","place-fenwy",1,3.68100481905592
"Green","place-longw",0,4.26022598849607
"Green","place-bvmnl",0,5.19712917676443
"Green","place-brkhl",0,5.98294917704415
"Green","place-bcnfd",0,6.85125353370249
"Green","place-rsmnl",0,7.52629481320747
"Green","place-chhil",0,9.06763466059777
"Green","place-newto",0,11.1591817207338
"Green","place-newtn",0,12.4120090250341
"Green","place-eliot",0,13.4015033950401
"Green","place-waban",0,14.3113260810952
"Green","place-woodl",0,15.1904248045376
"Green","place-river",0,15.8802736541252
"Green","place-mdftf",0,7.46429831760323
"Green","place-balsq",0,6.45195828844867
"Green","place-mgngl",0,5.67950849818657
"Green","place-gilmn",0,4.68187301879162
"Green","place-esomr",0,3.42724772983123
"Green","place-prmnl",1,1.96717886333447
"Green","place-symcl",1,2.37472168366233
"Green","place-nuniv",1,2.77362180294149
"Green","place-mfa",1,3.39784911233508
"Green","place-lngmd",1,3.81690128898433
"Green","place-brmnl",1,4.23645065894304
"Green","place-fenwd",1,4.34543638749045
"Green","place-mispk",1,4.65698311186265
"Green","place-rvrwy",1,4.89753750536381
"Green","place-bckhl",1,4.94774902273635
"Green","place-hsmnl",1,4.9925061496464
"Blue","place-wondl",0,8.67385084718324
"Blue","place-rbmnl",0,8.16940652561719
"Blue","place-bmmnl",0,7.40277591607665
"Blue","place-sdmnl",1,6.60784721871144
"Blue","place-orhte",1,5.86424131372253
"Blue","place-wimnl",1,4.19817409616383
"Blue","place-aport",1,3.33867675342949
"Blue","place-mvbcl",1,2.39559854089845
"Blue","place-aqucl",1,0.969187110554949
"Blue","place-state",1,0.549831112212388
"Blue","place-gover",1,0.561739304970966
"Blue","place-bomnl",1,0.717814206071776
